order_id,customer_name,city,product,amount,order_date
1,Priya Sharma,Mumbai,Saree,2500,2024-01-15
2,Rahul Gupta,Delhi,Kurta,1200,2024-01-16
3,Anjali Mehta,Bangalore,Lehenga,8500,2024-01-17
4,Vikas Joshi,Pune,Sherwani,4500,2024-01-18
5,Neha Verma,Hyderabad,Dupatta,800,2024-01-19
6,Priya Sharma,Mumbai,Blouse,1500,2024-01-20
7,Rahul Gupta,Delhi,Saree,3200,2024-01-21
8,Anjali Mehta,Bangalore,Kurta,900,2024-01-22
9,Vikas Joshi,Pune,Lehenga,6200,2024-01-23
10,Neha Verma,Hyderabad,Sherwani,3800,2024-01-24
